type_id,median_daily_liquidity
644,72835620000.0
645,58085220000.0
648,4413768700.0
649,25773175000.0
650,1590136000.0
651,774706900.0
652,739209000.0
653,755023300.0
654,1112720500.0
655,1531718000.0
656,1654102400.0
657,3283502000.0
671,321600050.29
672,1774998680.0
683,375943000.0
684,634842170.0
685,693406004.6
686,6794090600.0
687,7200362000.0
688,95859310000.0
689,183805781.0
690,100779500.0
691,41014000.0
692,288641100.0
693,1797012000.0
785,10156480.0
786,8140100.0
788,380613000.0
790,2111916520.0
803,123673700.0
804,72033000.0
805,96274000.0
806,60190040.0
807,29400000.0
808,37800000.0
809,33601000.0
810,31500000.0
811,19918800.0
812,9970150.0
813,4860000.0
814,22492000.0
819,15234000.0
820,16440000.0
821,19560000.0
822,63641000.0
823,179676000.0
824,190550000.0
825,80252200.0
826,59230800.0
827,87714900.0
828,102364000.0
829,120789000.0
830,360000000.0
831,190380000.0
832,287991000.0
833,29204000.0
834,12668000.0
835,32400400.0
836,96149000.0
837,164979000.0
838,540197300.0
839,246960000.0
840,63069700.0
841,126766431.0
842,7039000.0
843,343680000.0
844,90294000.0
845,340950000.0
846,889380000.0
847,314370000.0
848,280920000.0
879,876000.0
880,2521000.0
881,10035910.0
882,4216000.0
883,19015640.0
884,20585000.0
885,20085580.0
886,8400000.0
887,31705000.0
888,50400000.0
889,40425000.0
890,149212037.18
891,19750000.0
892,153417100.0
893,83713000.0
894,23600000.0
895,54827000.0
896,92796980.0
897,108853020.0
898,81175990.0
899,114266450.0
900,81070090.0
901,123435020.0
902,108486010.0
936,20400089.99
937,128348000.0
938,44618000.0
939,53465000.0
940,38342000.0
941,45982035.92
944,273505000.0
945,265657000.0
946,91327900.0
949,240401000.0
950,250400500.0
952,240501661.6
954,58576400.0
955,47971000.0
956,23800755.4
967,97406640.0
968,7170035000.0
969,674780000.0
970,502290000.0
971,767160100.0
972,554800000.0
973,579610000.0
974,454632000.0
975,527690000.0
976,335440000.0
977,6971304520.0
978,698430000.0
979,494149000.0
983,294437000.0
984,629608100.0
985,70147310.0
986,34388900.0
987,105609900.0
988,60068016.0
989,72230000.0
990,73270000.0
991,117119000.0
992,106971000.0
994,91380683500.0
995,5734338000.0
996,4459168000.0
997,2763065000.0
998,2369500000.0
999,3599802000.0
1010,25737600.0
1026,38362400.0
1032,19881200.0
1067,27632500.0
1072,3608480.0
1074,39437000.0
1075,60177600.0
1076,68219.4
1079,51251200.0
1096,26400000.0
1099,137416100.0
1100,465882840.0
1102,18685040.0
1105,76936000.0
1106,52976440.0
1109,45958400.0
1112,2861270.0
1113,45240000.0
1114,24360000.0
1115,35670000.0
1116,29400980.0
1117,61810900.0
1118,20600100.0
1119,122410919.8
1120,91800900.0
1121,393000000.0
1122,612000900.0
1123,204000000.0
1124,515904030.0
1125,1537588007.0
1126,918301000.0
1128,11249600.0
1129,71414145.0
1130,3396365.0
1131,3752250.0
1132,5242375.0
1133,10302325.0
1134,7262350.0
1135,9802375.0
1136,11202475.0
1137,66162795.0
1138,11920000.0
1139,21010000.0
1140,2400900.0
1141,29225000.0
1142,3600000.0
1143,4400000.0
1144,5200000.0
1145,7474590.0
1146,2200800.0
1147,4801000.0
1148,6411000.0
1149,8000900.0
1150,9661000.0
1151,11201000.0
